feature,importance
MAX_PAYMENT_DELAY,0.5596418
PAY_0,0.09519821
DELAYED_MONTHS_COUNT,0.06175931
TOTAL_BILL,0.017176863
AVG_PAYMENT_DELAY,0.017034685
TOTAL_PAY,0.014820368
LIMIT_BAL,0.012893664
PAY_AMT2,0.012324127
CREDIT_UTILIZATION,0.012244736
BILL_AMT1,0.012089715
BILL_AMT3,0.011803123
PAYMENT_RATIO,0.01162442
PAY_AMT3,0.011058703
BILL_AMT5,0.010759453
PAY_AMT1,0.010281734
PAY_AMT6,0.010082452
EDUCATION,0.010071709
BILL_AMT2,0.009934452
BILL_AMT4,0.00978817
PAY_2,0.009204399
SEX,0.00918908
PAY_AMT5,0.009006119
PAY_AMT4,0.008987765
BILL_AMT6,0.008967352
AGE,0.008811946
MARRIAGE,0.008356759
PAY_4,0.0074416096
PAY_3,0.0069188536
PAY_6,0.006281471
PAY_5,0.0062469593
