LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,TOTAL_BILL,TOTAL_PAY,PAYMENT_RATIO,CREDIT_UTILIZATION,AVG_PAYMENT_DELAY,MAX_PAYMENT_DELAY,DELAYED_MONTHS_COUNT,actual_default,risk_probability,risk_segment
50000,1,2,2,46,-1,-1,-1,-1,0,0,1540,26060,0,2650,3320,2764,26060,0,3472,2320,1764,2841,36334,36457,1.0033852589860737,0.72668,-0.6666666666666666,0,0,0,0.257995380168832,Medium Risk
150000,1,1,1,31,-1,-1,-1,-1,-1,-1,15000,0,0,0,0,11694,0,0,0,0,11694,30000,26694,41694,1.5619240278714317,0.17796,-1.0,-1,0,0,0.2759886009940174,Medium Risk
50000,1,2,2,25,0,0,0,0,0,0,48065,48355,49009,49949,50479,50702,1800,1844,2200,2000,1800,2038,296559,11682,0.0393918242238475,5.93118,0.0,0,0,0,0.3477153709820791,High Risk
290000,2,1,2,25,0,0,0,0,0,0,305823,303701,296384,248801,241983,230925,15000,10500,10000,15000,7844,23333,1627617,81677,0.050181953125336,5.612472413793103,0.0,0,0,1,0.23343510151628402,Medium Risk
500000,2,2,1,27,-1,-1,-1,-1,-1,-1,11354,9983,13570,10000,10000,10000,9983,13587,10000,10000,10000,25304,64907,78874,1.215184802871801,0.129814,-1.0,-1,0,0,0.09760168889295792,Low Risk
200000,1,1,1,29,1,2,0,0,0,0,199417,188778,195335,194775,197105,204122,0,8278,4100,180000,202317,0,1179532,394695,0.3346200018312347,5.89766,0.5,2,2,0,0.4548961705689094,High Risk
210000,1,2,2,31,0,0,0,0,0,0,189650,127111,93208,88223,84175,80305,5000,4200,3100,3000,3100,3000,662672,21400,0.0322935026679865,3.1555809523809524,0.0,0,0,0,0.24023794656331998,Medium Risk
260000,1,3,2,35,0,0,0,0,0,0,33078,42056,43986,45879,54264,59872,10000,10000,10390,10009,10000,10000,279135,60399,0.2163791713686925,1.0735961538461538,0.0,0,0,0,0.11061191742536002,Low Risk
450000,2,1,1,42,-1,-1,-1,-1,-1,-1,72517,0,6281,3446,6157,0,0,6281,3446,6157,0,14380,88401,30264,0.3423490684494519,0.1964466666666666,-1.0,-1,0,0,0.20337525031067094,Medium Risk
150000,1,3,2,39,0,0,0,0,0,0,42029,42678,11413,12418,12415,13211,2100,1500,1500,500,1000,2300,134164,8900,0.0663367222205658,0.8944266666666667,0.0,0,0,0,0.1844330751397215,Medium Risk
90000,2,1,1,31,1,2,-1,0,0,-1,8318,6111,33212,8978,1782,23173,39,33500,0,0,25000,0,81574,58539,0.7176183587907912,0.9063777777777776,0.1666666666666666,2,2,0,0.499650179868534,High Risk
220000,1,1,1,54,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,-1,0,0,0.4639685237715667,High Risk
180000,1,1,1,40,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,-1,0,1,0.41468698855653857,High Risk
290000,1,1,1,51,0,0,0,0,0,0,225478,225603,216488,152892,150051,146287,10026,10006,7000,5000,5200,5500,1116799,42732,0.038262928244026,3.851031034482759,0.0,0,0,0,0.23178820049148605,Medium Risk
210000,2,1,2,31,0,0,0,0,0,0,10968,12480,16919,11775,13275,24901,2000,6016,1000,1500,13000,500,90318,24016,0.2659049137491973,0.4300857142857143,0.0,0,0,0,0.152222784228256,Medium Risk
90000,2,3,1,40,1,2,2,2,2,2,40467,41495,42520,42997,41698,43976,2000,2000,1800,0,3434,1708,253153,10942,0.0432228731241581,2.812811111111111,1.8333333333333333,2,6,0,0.7246350579864523,Very High Risk
500000,1,1,2,30,-1,-1,-1,-1,-1,-1,24349,9543,53947,84388,26154,175790,9605,54218,84839,26283,175857,4914,374171,355716,0.950677631350372,0.748342,-1.0,-1,0,0,0.0717808760194727,Low Risk
350000,1,1,1,60,1,-1,-1,-1,-1,-1,0,1150,4576,0,0,1206,1150,4576,0,0,1206,0,6932,6932,1.0,0.0198057142857142,-0.6666666666666666,1,1,1,0.5950521254185808,Very High Risk
